DrugBank ID,Drug Name,Side Effects/Toxicity
DB00117,Histidine,"ORL-RAT LD<sub>50</sub> > 15000 mg/kg, IPR-RAT LD<sub>50</sub> > 8000 mg/kg, ORL-MUS LD<sub>50</sub> > 15000 mg/kg, IVN-MUS LD<sub>50</sub> > 2000 mg/kg; Mild gastrointestinal side effects."
DB00118,Ademetionine,Irritating to mucus membranes and upper respiratory tract. Can cause CNS depression.
DB00119,Pyruvic acid,"Those taking large doses of supplemental pyruvate&mdash;usually greater than 5 grams daily&mdash;have reported gastrointestinal symptoms, including abdominal discomfort and bloating, gas and diarrhea. One child receiving pyruvate intravenously for restrictive cardiomyopathy died."
DB00120,Phenylalanine,L-phenylalanine will exacerbate symptoms of phenylketonuria if used by phenylketonurics. L-phenylalanine was reported to exacerbate tardive dyskinesia when used by some with schizophrenia.
DB00121,Biotin,Prolonged skin contact may cause irritation.
DB00122,Choline,Oral rat LD<sub>50</sub>: 3400 mg/kg
DB00125,Arginine,"Oral supplementation with L-arginine at doses up to 15 grams daily are generally well tolerated. The most common adverse reactions of higher doses  from 15 to 30 grams daily are nausea, abdominal cramps and diarrhea. Some may experience these symptoms at lower doses."
DB00128,Aspartic acid,"Mild gastrointestinal side effects including diarrhea. LD<sub>50</sub> (rat) > 5,000 mg/kg."
DB00129,Ornithine,"Oral, rat LD<sub>50</sub> = 10000 mg/kg"
DB00130,L-Glutamine,"Doses of L-glutamine up to 21 grams daily appear to be well tolerated. Reported adverse reactions are mainly gastrointestinal and not common. They include constipation and bloating. There is one older report of two hypomanic patients whose manic symptoms were exacerbated following the use of 2 to 4 grams daily of L-glutamine. The symptoms resolved when the L-glutamine was stopped. These patients were not rechallenged, nor are there any other reports of this nature.  The most common adverse effects observed in clinical trials of Endari were constipation (21%), nausea (19%), headache (18%), abdominal pain (17%), cough (16%), extremity pain (13%), back pain (12%), and chest pain (12%) [FDA Label]."
DB00134,Methionine,"Doses of L-methionine of up to 250 mg daily are generally well tolerated. Higher doses may cause nausea, vomiting and headache. Healthy adults taking 8 grams of L-methionine daily for four days were found to have reduced serum folate levels and leucocytosis. Healthy adults taking 13.9 grams of L-methionine daily for five days were found to have changes in serum pH and potassium and increased urinary calcium excretion. Schizophrenic patients given 10 to 20 grams of L-methionine daily for two weeks developed functional psychoses. Single doses of 8 grams precipitated encephalopathy in patients with cirrhosis."
DB00135,Tyrosine,"L-Tyrosine has very low toxicity. There have been very few reports of toxicity. LD<sub>50</sub> (oral, rat) > 5110 mg/kg."
DB00136,Calcitriol,"LD<sub>50</sub> (oral, rat) = 620 &mu;g/kg; LD<sub>50</sub> (intraperitoneal, rat) > 5 mg/kg [MSDS].  Symptoms of calcitriol toxicity mirrors the early and late signs and symptoms of vitamin D intoxication associated with hypercalcemia [L5653]. Early signs include weakness, headache, somnolence, nausea, vomiting, dry mouth, constipation, muscle pain, bone pain and metallic taste. Late signs are characterized by polyuria, polydipsia, anorexia, weight loss, nocturia, conjunctivitis (calcific), pancreatitis, photophobia, rhinorrhea, pruritus, hyperthermia, decreased libido, elevated BUN, albuminuria, hypercholesterolemia, elevated SGOT and SGPT, ectopic calcification, hypertension, cardiac arrhythmias and, rarely, overt psychosis [L5653]."
DB00138,Cystine,"With typical doses of 1 to 1.5 grams daily, the most commonly reported side effects have been gastrointestinal, such as nausea. There are rare reports of cystine renal stone formation, Single injections of L-cysteine (0.6-1.5 g/kg) into 4-day-old pups resulted in massive damage to cortical neurons, permanent retinal dystrophy, atrophy of the brain and hyperactivity."
DB00139,Succinic acid,Oral rat LD<sub>50</sub>: 2260 mg/kg
DB00141,N-Acetylglucosamine,"Mouse, intravenous LD<sub>50</sub> is 4170 mg/kg. Side effects that have been reported are mainly mild gastrointestinal complaints such as heartburn, epigastric distress and diarrhea. No allergic reactions have been reported including sulfa-allergic reactions to glucosamine sulfate."
DB00142,Glutamic acid,"Glutamate causes neuronal damage and eventual cell death, particularly when NMDA receptors are activated, High dosages of glutamic acid may include symptoms such as headaches and neurological problems."
DB00143,Glutathione,"ORL-MUS LD<sub>50</sub> 5000 mg/kg, IPR-MUS LD<sub>50</sub> 4020 mg/kg, SCU-MUS LD<sub>50</sub> 5000 mg/kg, IVN-RBT LD<sub>50</sub> > 2000 mg/kg, IMS-MUS LD<sub>50</sub> 4000 mg/kg"
DB00144,Phosphatidyl serine,"There are no reports of overdosage. LD<sub>50</sub> in rats is more than 5g/kg, and in rabbits is more than 2g/kg."
DB00145,Glycine,"ORL-RAT LD<sub>50</sub> 7930 mg/kg, SCU-RAT LD<sub>50</sub> 5200 mg/kg, IVN-RAT LD<sub>50</sub> 2600 mg/kg, ORL-MUS LD<sub>50</sub> 4920 mg/kg; Doses of 1 gram daily are very well tolerated. Mild gastrointestinal symptoms are infrequently noted. In one study doses of 90 grams daily were also well tole."
DB00146,Calcifediol,"Bone pain, constipation (especially in children or adolescents), diarrhea, drowsiness, dryness of mouth; headache (continuing), increased thirst, increase in frequency of urination, especially at night, or in amount of urine, irregular heartbeat, itching skin, loss of appetite, metallic taste, muscle pain, nausea or vomiting (especially in children or adolescents), unusual tiredness or weakness."
DB00147,Pyridoxal,"Oral LD<sub>50</sub> Rat: 2150 mg/kg, Oral LD<sub>50</sub> Mouse: 1800 mg/kg"
DB00150,Tryptophan,"Oral rat LD<sub>50</sub>: > 16 gm/kg. Investigated as a tumorigen, mutagen, reproductive effector. Symptoms of overdose include agitation, confusion, diarrhea, fever, overactive reflexes, poor coordination, restlessness, shivering, sweating, talking or acting with excitement you cannot control, trembling or shaking, twitching, and vomiting."
DB00152,Thiamine,"Thiamine toxicity is uncommon; as excesses are readily excreted, although long-term supplementation of amounts larger than 3 gram have been known to cause toxicity. Oral mouse LD<sub>50</sub> = 8224 mg/kg, oral rat LD<sub>50</sub> = 3710 mg/kg."
DB00153,Ergocalciferol,"The reported LD50 for orally administered ergocalciferol in the rat is of 10 mg/kg.[MSDS] Overdosage with this agent is reported to produce hypervitaminosis characterized by hypercalcemia, renal impairment, calcification of soft tissues, a decline in the rate of linear growth and increase in bone mineralization.[L6094]  Once an overdose state is registered, immediate withdrawal of vitamin D is required along with a calcium diet, generous intake of fluids and symptomatic treatment. The administration of loop diuretics is an option to increase renal calcium excretion. On the other hand, dialysis and administration of citrates, sulfates, phosphates, corticosteroids, EDTA and mithramycin are recommended.[L6094]  There haven't been long term studies analyzing the carcinogenic and mutagenic potential of ergocalciferol or its effects in fertility."
DB00157,NADH,"No reports of overdose, however, high doses of NADH (10 mg a day or more) may cause jitteriness, anxiety, and insomnia."
DB00158,Folic acid,"IPR-MUS LD<sub>50</sub> 85 mg/kg,IVN-GPG LD<sub>50</sub> 120 mg/kg, IVN-MUS LD<sub>50</sub> 239 mg/kg, IVN-RAT LD<sub>50</sub> 500 mg/kg, IVN-RBT LD<sub>50</sub> 410 mg/kg"
DB00161,Valine,"Symptoms of hypoglycemia, increased mortality in ALS patients taking large doses of BCAAs."
DB00162,Vitamin A,"Acute toxicity to vitamin A can occur when adults or children ingest >100x or >20x the RDA, respectively, over a period of hours or a few days.[A37787] The RDA for vitamin A differs depending on age and sex and can range from 300 - 900 μg retinol activity equivalents (RAE) per day.[L15386] Symptoms of acute systemic toxicity generally include mucocutaneous involvement (e.g. xerosis, cheilitis, skin peeling) and may involve mental status changes.[A216971] Children are typically more susceptible to acute vitamin A toxicity - daily intakes of as little as 1500 IU/kg have been observed to result in toxicity.[A37787]  Chronic vitamin A toxicity can develop following the long-term ingestion of high vitamin A doses. While there is a wide variation in the lowest toxic vitamin A dose, the ingestion of >25 000 IU daily for 6 years or 100,000 IU daily for 6 months is considered to be toxic.[A37787] Chronic vitamin A toxicity can affect many organ systems and can lead to the development of osteoporosis and CNS effects (e.g. headaches).[A216971]"
